misconception_id,standard_code,pattern_label,description,suggested_reteach,wrong_answer_pattern
MC-001,CCSS.MATH.4.OA.A.1,subtraction_instead_of_division,"Student confuses 'how many fewer' (subtraction) with 'how many times as many' (multiplicative comparison), applying subtraction when division or multiplication is required.",Use bar-model diagrams to contrast additive vs. multiplicative comparison.  Have students restate the question in their own words before choosing an operation.,result = a - b instead of a / b or a * b
MC-002,CCSS.MATH.3.NF.A.1,numerator_denominator_swap,"Student reverses the roles of numerator and denominator, e.g., interpreting 3/4 as '4 parts out of 3' instead of '3 parts out of 4'.",Provide fraction strips and region models.  Label the denominator as 'how many equal parts the whole is split into' and the numerator as 'how many parts we are talking about'.,writes b/a when a/b is intended
MC-003,CCSS.MATH.4.NF.B.3,fraction_addition_whole_number,"Student adds both numerators and denominators as if they were whole numbers, e.g., 1/3 + 1/4 = 2/7 instead of finding a common denominator.",Use visual area models to show that 1/3 and 1/4 refer to different-sized pieces.  Practice finding common denominators before combining.,a/b + c/d = (a+c)/(b+d)
MC-004,CCSS.MATH.5.NF.B.3,fraction_division_invert_wrong,"When dividing fractions, the student inverts (takes the reciprocal of) the dividend instead of the divisor, e.g., computing (3/4) / (2/5) as (4/3) * (2/5) instead of (3/4) * (5/2).","Emphasise the 'Keep-Change-Flip' mnemonic: keep the first fraction, change division to multiplication, flip only the second fraction.  Use number-line models to verify.",(a/b) / (c/d) = (b/a) * (c/d) instead of (a/b) * (d/c)
MC-ELA-001,CCSS.ELA.3.RI.A.2,main_idea_vs_detail,"Student confuses supporting details with the main idea, selecting a specific detail or example when asked to identify the central message of the passage.",Use graphic organizers (main idea webs) where students place the big idea in the center and supporting details around it. Practice with short paragraphs before full passages.,selects supporting detail instead of main idea
MC-ELA-002,CCSS.ELA.4.RL.A.2,literal_vs_inferential,Student answers with text-explicit (literal) information when the question requires making an inference. Struggles to read between the lines or draw conclusions beyond stated facts.,Model think-aloud strategies: 'The text says... I know that... So I can figure out...' Use sentence stems for inference practice with progressively less scaffolding.,provides literal text quote instead of inference
MC-ELA-003,CCSS.ELA.4.W.A.1,opinion_vs_fact,"Student presents personal opinions as facts in informational or opinion writing without supporting evidence or reasoning, or confuses factual claims with opinion statements.","Create a two-column chart (Fact vs. Opinion) with examples. Teach signal words for opinions (I think, I believe, in my view) and practice identifying evidence-based claims.",states opinion as fact without evidence
MC-SCI-001,NGSS.3-LS1-1,plants_eat_soil,Student believes plants get their food (mass) from the soil rather than from photosynthesis. Confuses water/mineral uptake with the primary source of plant growth.,"Conduct a plant growth experiment comparing soil weight before and after growth. Introduce photosynthesis as 'plants making food from sunlight, water, and air (CO2)' with diagrams.",says plants get food from soil/roots
MC-SCI-002,NGSS.3-PS2-1,heavier_falls_faster,"Student thinks heavier objects always fall faster than lighter ones, not accounting for air resistance or understanding that gravity accelerates all objects equally in a vacuum.","Drop objects of different masses but similar shapes (e.g., two balls of different weights) and observe. Discuss Galileo's experiment and distinguish mass from air resistance effects.",claims heavier objects fall faster
MC-SCI-003,NGSS.5-ESS1-1,seasons_distance,Student thinks seasons are caused by Earth's changing distance from the Sun rather than by the tilt of Earth's axis and the resulting angle of sunlight.,"Use a globe and flashlight to model how axial tilt changes the angle and duration of sunlight. Point out that when it is summer in the Northern Hemisphere, it is winter in the Southern.",says seasons caused by distance from Sun
